LPL,SEC63,ITSN1,CLEC7A,PLEKHA3,PFKFB2,HLA-DOA,JCHAIN,SKI,CBX1,RORB,SEL1L3,ALPK1,SDC2,SSBP3,BACE2,FGFR1,SPARCL1,PDK4,HES1,CIITA,YWHAG,MOSPD2,GNG10,IL21R,ATP6V1C1,BAG1,EMP1,OSBPL1A,MFAP4,TFRC,CEBPA,IGFBP5,AFF1,IL2RB,NPL,ATP2B4,P2RY14,KLHL6,TPPP3,TACC1,SCARA5,NUCKS1,CAPZA1,SCML4,PLIN1,FCHO2,SGMS2,PRMT5,PPM1A,SNX18,LYZ,IFIT3,CTSB,EFEMP1,STAG2,ASPH,CR1,ITGB2,RNF146,YBX3,RPL37A,DPY19L3,HBB,DIO2,HHEX,LCK,CALM2,SLA,QKI,TBC1D14,TCF7L2,SLAMF8,ALOX5,TPM1,SLC16A7,SNAP23,LATS2,PPT1,APMAP,CUTC,RAB32,PLEKHA5,AKAP12,PID1,KCNIP2,label
644.0,1738.0,1020.0,136.0,250.0,27.0,0.0,0.0,507.0,385.0,4.0,1292.0,311.0,196.0,350.0,1395.0,1059.0,1386.0,2335.0,830.0,112.0,2250.0,448.0,263.0,6.0,1051.0,199.0,366.0,46.0,149.0,15856.0,946.0,1848.0,22231.0,253.0,246.0,1751.0,23.0,71.0,6038.0,1716.0,6.0,1359.0,1460.0,2.0,3.0,447.0,1037.0,713.0,879.0,377.0,174.0,114.0,6775.0,4744.0,1317.0,456.0,87.0,247.0,553.0,1134.0,2870.0,507.0,3901.0,28.0,49.0,9.0,1297.0,25.0,1988.0,857.0,166.0,16.0,206.0,614.0,121.0,3165.0,685.0,1019.0,3067.0,110.0,14.0,874.0,1041.0,452.0,35.0,0
2844.0,1821.0,832.0,86.0,154.0,64.0,6.0,1.0,536.0,358.0,2.0,865.0,295.0,240.0,360.0,1260.0,869.0,1585.0,1413.0,615.0,62.0,2097.0,397.0,338.0,4.0,1066.0,261.0,445.0,63.0,98.0,8616.0,1106.0,1745.0,16995.0,370.0,210.0,1079.0,45.0,95.0,5930.0,1860.0,4.0,1325.0,1626.0,1.0,2.0,437.0,1034.0,573.0,1028.0,362.0,187.0,98.0,8519.0,3902.0,1589.0,469.0,144.0,215.0,466.0,1203.0,2401.0,509.0,5194.0,65.0,35.0,7.0,1452.0,87.0,2346.0,806.0,191.0,24.0,12.0,812.0,67.0,2782.0,961.0,916.0,2446.0,75.0,13.0,759.0,1187.0,383.0,37.0,0
428.0,1764.0,579.0,139.0,190.0,72.0,0.0,2.0,424.0,335.0,7.0,1176.0,367.0,136.0,326.0,1259.0,668.0,1190.0,1964.0,643.0,71.0,1744.0,273.0,270.0,6.0,890.0,190.0,332.0,67.0,106.0,11196.0,995.0,1748.0,24238.0,88.0,175.0,1437.0,55.0,93.0,6032.0,1778.0,6.0,1249.0,1182.0,0.0,0.0,341.0,1134.0,439.0,925.0,301.0,127.0,95.0,9826.0,4468.0,1338.0,408.0,76.0,149.0,455.0,1116.0,2334.0,508.0,1211.0,99.0,16.0,2.0,1197.0,81.0,1995.0,625.0,94.0,23.0,159.0,410.0,77.0,2603.0,584.0,667.0,2383.0,81.0,14.0,743.0,1130.0,422.0,29.0,0
1251.0,2802.0,797.0,191.0,381.0,69.0,17.0,0.0,803.0,440.0,0.0,1959.0,413.0,332.0,511.0,2300.0,1070.0,1605.0,3472.0,588.0,282.0,2812.0,639.0,355.0,23.0,1366.0,273.0,646.0,77.0,297.0,21342.0,879.0,3785.0,27666.0,481.0,529.0,2282.0,104.0,169.0,6038.0,2300.0,25.0,1843.0,2320.0,2.0,4.0,712.0,1478.0,813.0,1206.0,802.0,619.0,187.0,10165.0,7130.0,1845.0,693.0,226.0,704.0,731.0,1407.0,3797.0,537.0,2214.0,69.0,46.0,7.0,1895.0,139.0,3137.0,1006.0,298.0,94.0,324.0,1082.0,123.0,3709.0,1431.0,1075.0,3996.0,162.0,27.0,1161.0,1390.0,827.0,49.0,0
1735.0,1898.0,929.0,180.0,281.0,67.0,13.0,3.0,1161.0,433.0,4.0,1455.0,247.0,401.0,536.0,1458.0,1728.0,1640.0,1990.0,1079.0,215.0,2391.0,409.0,402.0,14.0,845.0,474.0,426.0,58.0,504.0,7039.0,2061.0,3212.0,10449.0,357.0,375.0,2346.0,39.0,152.0,9730.0,1830.0,16.0,1499.0,1352.0,3.0,4.0,229.0,565.0,624.0,906.0,642.0,412.0,174.0,8916.0,6025.0,1268.0,689.0,126.0,694.0,565.0,1759.0,3371.0,200.0,6574.0,80.0,57.0,23.0,1993.0,222.0,1471.0,1150.0,257.0,58.0,314.0,2008.0,72.0,1856.0,806.0,1146.0,3629.0,133.0,41.0,706.0,1237.0,859.0,33.0,0
2974.0,2708.0,872.0,218.0,306.0,58.0,2.0,0.0,948.0,512.0,8.0,1194.0,369.0,221.0,428.0,2748.0,1491.0,999.0,1753.0,1274.0,147.0,2558.0,529.0,369.0,4.0,1488.0,402.0,240.0,81.0,869.0,14085.0,1937.0,2493.0,12364.0,411.0,267.0,1647.0,41.0,145.0,15576.0,2102.0,33.0,1937.0,1647.0,2.0,1.0,288.0,884.0,959.0,1161.0,347.0,326.0,175.0,10807.0,3131.0,1616.0,439.0,129.0,392.0,610.0,2026.0,4435.0,200.0,5659.0,36.0,48.0,8.0,1698.0,68.0,1742.0,1022.0,158.0,42.0,279.0,1226.0,154.0,2491.0,750.0,1754.0,3834.0,158.0,28.0,882.0,1505.0,845.0,39.0,0
212.0,1515.0,661.0,125.0,369.0,68.0,0.0,1.0,770.0,505.0,6.0,1334.0,221.0,634.0,493.0,1125.0,2017.0,2593.0,1177.0,928.0,147.0,2228.0,383.0,372.0,10.0,1016.0,432.0,571.0,100.0,536.0,12162.0,2141.0,5719.0,7696.0,172.0,486.0,2266.0,95.0,165.0,9673.0,2569.0,13.0,1590.0,1510.0,2.0,4.0,205.0,577.0,671.0,894.0,384.0,335.0,255.0,8260.0,4890.0,1204.0,639.0,151.0,495.0,660.0,1797.0,3598.0,245.0,10979.0,82.0,114.0,12.0,2043.0,155.0,1308.0,928.0,179.0,26.0,294.0,1587.0,61.0,1682.0,643.0,1074.0,2454.0,121.0,43.0,604.0,1478.0,910.0,31.0,0
1171.0,1673.0,703.0,189.0,147.0,83.0,0.0,0.0,716.0,338.0,5.0,1505.0,283.0,754.0,463.0,846.0,1736.0,2952.0,1067.0,750.0,145.0,1656.0,441.0,340.0,11.0,782.0,365.0,1153.0,68.0,725.0,8194.0,1585.0,7277.0,9318.0,136.0,327.0,1947.0,164.0,121.0,4546.0,1842.0,17.0,1557.0,1511.0,1.0,5.0,213.0,637.0,531.0,689.0,549.0,335.0,199.0,8472.0,5201.0,1135.0,502.0,198.0,412.0,453.0,1167.0,2523.0,242.0,12201.0,7.0,118.0,11.0,1981.0,151.0,1500.0,822.0,240.0,25.0,256.0,1556.0,84.0,1566.0,604.0,980.0,1962.0,71.0,27.0,547.0,943.0,480.0,56.0,0
367.0,1947.0,794.0,129.0,216.0,73.0,2.0,5.0,1280.0,430.0,3.0,1230.0,268.0,616.0,436.0,1379.0,1887.0,2480.0,1379.0,1126.0,322.0,2547.0,484.0,418.0,6.0,848.0,529.0,888.0,87.0,192.0,12653.0,1909.0,5022.0,9637.0,129.0,261.0,2690.0,113.0,137.0,8281.0,2201.0,13.0,1687.0,1436.0,0.0,6.0,280.0,634.0,633.0,986.0,569.0,283.0,286.0,9927.0,5888.0,1306.0,646.0,188.0,342.0,467.0,1429.0,3138.0,301.0,6782.0,20.0,99.0,8.0,2122.0,59.0,1358.0,975.0,225.0,46.0,113.0,1801.0,82.0,1637.0,729.0,865.0,3402.0,112.0,27.0,676.0,1218.0,660.0,24.0,0
661.0,2172.0,605.0,182.0,376.0,87.0,0.0,0.0,607.0,331.0,7.0,952.0,244.0,376.0,351.0,1747.0,1053.0,2140.0,1848.0,947.0,68.0,1758.0,404.0,444.0,3.0,1025.0,435.0,273.0,40.0,280.0,11753.0,2080.0,4090.0,8461.0,66.0,227.0,1915.0,62.0,120.0,7592.0,2360.0,11.0,1598.0,1371.0,4.0,3.0,220.0,496.0,732.0,946.0,345.0,349.0,184.0,8835.0,3335.0,1346.0,561.0,92.0,225.0,464.0,1651.0,3670.0,160.0,10059.0,30.0,70.0,9.0,1880.0,58.0,1353.0,823.0,181.0,24.0,149.0,1388.0,153.0,1367.0,613.0,1341.0,2937.0,126.0,22.0,780.0,916.0,381.0,22.0,0
