"",gene_symbol,GSM1820115,GSM1820116,GSM1820117,GSM1820118,GSM1820119,GSM1820120,GSM1820121,GSM1820122,GSM1820123,GSM1820124,GSM1820125,GSM1820126,GSM1820127,GSM1820128,GSM1820129
ENSG00000275215,LOC100008587,103.6547,122.719,59.5945,18.8916,62.7326,151.0381,66.712,188.2005,163.3973,82.3695,176.0884,147.6757,110.454,68.1298,69.1908
ENSG00000275221,HIST1H2AK,11.6295,4.3573,4.4255,5.7256,0.7988,2.4835,0,0,0,0,9.8896,4.2098,6.0775,1.6449,0
ENSG00000275226,LINC00547,449.9713,248.8162,138.0192,128.3524,175.5827,32.8284,106.8043,50.1328,269.3429,108.5003,36.1301,88.5493,48.9829,75.3005,81.8336
ENSG00000275237,KIR2DL4,0,0.0019,0.2242,0.5736,0,0,0,0,1.0032,0,0,0,0,0,0.9317
ENSG00000275238,MIR4734,4.675,0,0,1.0074,0,0,0.9917,0,3.0799,1.0743,0,1.0074,0,0,1.0476
ENSG00000275239,LOC105376064,30.8297,20.7915,18.9744,13.7687,18.4593,1.5994,12.5477,5.0777,39.8234,23.7038,6.4484,6.069,6.4348,4.3104,9.6787
ENSG00000275244,OR2T1,14.3504,12.0011,7.7931,3.8782,6.4381,1,5.9041,4.8192,13.5849,6.9615,3.3122,7.6695,2.6668,2.6678,6.1564
ENSG00000275246,TLCD2,174.5221,83.2688,49.6708,53.1757,65.3878,10.9991,62.0046,27.5453,136.0085,65.0957,33.3846,32.153,27.5735,24.3375,42.6804
ENSG00000275253,KIR2DS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275259,MIR6511A1,0,0,0,0,1.094,0.5036,2.0359,0.2518,3.5648,1.6685,0,1.4309,1.0072,1.5977,0
ENSG00000275262,KIR3DL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275269,FCAR,16.6348,18.4663,3.2333,6.5272,12.7717,6.4676,0,9.5251,8.8507,3.6684,5.4882,17.728,6.8794,9.7461,3.6492
ENSG00000275272,YTHDC1,5031.8397,2707.4938,1679.2506,1507.5679,4980.5873,4086.1541,2377.1048,6395.7426,8511.3131,3870.2869,4979.7023,5930.1896,5255.8943,6171.7024,3026.277
ENSG00000275273,MIR6780A,5.9506,3.2814,0.9918,3.8602,2.0538,0,2.9311,0,1.7287,0,0,1.0348,0,0,0
ENSG00000275276,KIR2DL1,0,0,0,0,0,0,0,0,0,0,0,40.7215,0,0,0
